date,delay,distance,origin,destination
01010001,14,405,MCI,MDW
01010530,-11,370,LAX,PHX
01010540,5,389,ONT,SMF
01010600,-5,337,OAK,LAX
01010600,3,303,MSY,HOU
01010605,5,236,LAS,LAX
01010610,-4,405,MDW,MCI
01010615,-2,188,RNO,SJC
01010615,0,197,FLL,TPA
01010615,0,399,SEA,BOI
01010615,5,562,ELP,DAL
01010620,-5,358,SMF,BUR
01010620,0,491,BNA,MCI
01010625,-6,361,ONT,OAK
01010625,0,313,MCI,OKC
01010625,1,271,MDW,SDF
01010625,5,689,SLC,SEA
01010630,-1,487,TPA,MSY
01010630,-10,399,BOI,SEA
01010630,-15,621,SJC,PHX
01010630,-2,361,OAK,ONT
01010630,-3,220,ISP,BWI
01010630,-3,397,SMF,LAS
01010630,-8,251,MDW,STL
01010630,-8,417,SJC,SAN
01010630,1,682,BWI,BHM
01010630,10,370,PHX,LAX
01010630,15,177,BHM,BNA
01010630,2,562,DAL,ELP
01010635,0,453,HOU,TUL
01010635,1,601,RNO,PHX
01010635,2,670,BNA,HOU
01010635,9,677,ABQ,LAX
01010640,-21,777,BDL,MDW
01010640,-8,197,ONT,LAS
01010640,3,833,OKC,PHX
01010640,5,495,SDF,BWI
01010645,-14,423,MDW,OMA
01010645,-14,605,SEA,SMF
01010645,-19,838,MHT,MDW
01010645,-5,223,LAS,BUR
